id,probability_uint64,payout_multiplier
135,35793689,0
136,35793689,0
137,35793689,0
138,35793689,0
139,35793689,0
140,35793689,0
141,35793689,0
142,35793689,0
143,35793689,0
144,35793689,0
145,35793689,0
146,35793689,0
147,35793689,0
148,35793689,0
149,35793689,0
150,35793689,0
151,16282225,14
152,18995929,12
153,16282225,14
154,18995929,12
155,22795115,10
156,16282225,14
157,28493894,8
158,18995929,12
159,22795115,10
160,28493894,8
161,22795115,10
162,22795115,10
163,22795115,10
164,28493894,8
165,18995929,12
166,16282225,14
167,22795115,10
168,18995929,12
169,18995929,12
170,18995929,12
171,16282225,14
172,16282225,14
173,28493894,8
174,16282225,14
175,28493894,8
176,16282225,14
177,18995929,12
178,22795115,10
179,18995929,12
180,16282225,14
181,18995929,12
182,28493894,8
183,22795115,10
184,18995929,12
185,28493894,8
186,18995929,12
187,22795115,10
188,28493894,8
189,28493894,8
190,16282225,14
191,28493894,8
192,16282225,14
193,28493894,8
194,18995929,12
195,16282225,14
196,18995929,12
197,22795115,10
198,18995929,12
199,16282225,14
200,22795115,10
201,28493894,8
202,22795115,10
203,18995929,12
204,16282225,14
205,22795115,10
206,18995929,12
207,22795115,10
208,28493894,8
209,18995929,12
210,28493894,8
211,18995929,12
212,28493894,8
213,22795115,10
214,18995929,12
215,22795115,10
216,21781993,17
217,15428911,24
218,18514694,20
219,18514694,20
220,14242072,26
221,18514694,20
222,13224781,28
223,17633042,21
224,15428911,24
225,15428911,24
226,11571683,32
227,11571683,32
228,10890996,34
229,17633042,21
230,14242072,26
231,11571683,32
232,18514694,20
233,10890996,34
234,21781993,17
235,16831540,22
236,15428911,24
237,24686258,15
238,13224781,28
239,20571882,18
240,24686258,15
241,21781993,17
242,24686258,15
243,23143367,16
244,17633042,21
245,18514694,20
246,12768754,29
247,15428911,24
248,21781993,17
249,21781993,17
250,21781993,17
251,24686258,15
252,24686258,15
253,24686258,15
254,12343129,30
255,23143367,16
256,16831540,22
257,23143367,16
258,12343129,30
259,24686258,15
260,21781993,17
261,13224781,28
262,18514694,20
263,11221026,33
264,21781993,17
265,14811755,25
266,16472580,85
267,21214687,66
268,23336156,60
269,17723662,79
270,17950889,78
271,21541067,65
272,24140851,58
273,12845590,109
274,13209145,106
275,21541067,65
276,22953596,61
277,22953596,61
278,15557437,90
279,22953596,61
280,13727150,102
281,22953596,61
282,20002419,70
283,20002419,70
284,19446796,72
285,18184017,77
286,23731684,59
287,22224910,63
288,21214687,66
289,25003024,56
290,24564374,57
291,23336156,60
292,13463167,104
293,11668078,120
294,16472580,85
295,17950889,78
296,16668683,84
297,22224910,63
298,20898050,67
299,22953596,61
300,22953596,61
301,24140851,58
302,22953596,61
303,20002419,70
304,16281039,86
305,22583377,62
306,9663442,400
307,8052868,480
308,8906398,434
309,7824649,494
310,9663442,400
311,30677594,126
312,9663442,400
313,26842895,144
314,9427748,410
315,9663442,400
316,9291771,416
317,9381982,412
318,17978497,215
319,9663442,400
320,8052868,480
321,9663442,400
322,9473963,408
323,9663442,400
324,8745196,442
325,9663442,400
326,9663442,400
327,27609835,140
328,9663442,400
329,9203278,420
330,9663442,400
331,9663442,400
332,9381982,412
333,9663442,400
334,9663442,400
335,8052868,480
336,9203278,420
337,17895263,216
338,9663442,400
339,9663442,400
340,9381982,412
341,4687524,984
342,177110619,500
343,7107125,649
344,7475728,617
345,5680448,812
346,7687540,600
347,3022624,1526
348,5765655,800
349,7344784,628
350,9008836,512
351,7687540,600
352,7687540,600
353,9225048,500
354,6406283,720
355,8802527,524
356,8870239,520
357,6150032,750
358,9225048,500
359,3737864,1234
360,5597723,824
361,9225048,500
362,4392880,1050
363,9225048,500
364,7536804,612
365,9225048,500
366,3509470,4695
367,3140263,5247
368,2418814,6812
369,3209380,5134
370,3316618,4968
371,3246052,5076
372,3381276,4873
373,3540387,4654
374,3248612,5072
375,3409967,4832
376,3230776,5100
377,3651808,4512
378,3609411,4565
379,3520718,4680
380,3566441,4620
381,2477559,14560
382,2869333,12572
383,2093630,17230
384,2559476,14094
385,6666666,0
386,6666666,0
387,6666666,0
388,6666666,0
389,6666666,0
390,6666666,0
391,6666666,0
392,6666666,0
393,6666666,0
394,6666666,0
395,6666666,0
396,6666666,0
397,8542277,8
398,5694851,12
399,4881301,14
400,6833822,10
401,2009947,34
402,3796567,18
403,1589260,43
404,4019895,17
405,1627100,42
406,1004973,68
407,2500000,0
408,2500000,0
409,2500000,0
410,2500000,0
411,2500000,0
412,2500000,0
413,2500000,0
414,2500000,0
415,1001107,26
416,1859199,14
417,1531105,17
418,619733,42
419,3253599,8
420,1735253,15
421,14189,533
422,14714,514
423,7563075,0
424,14110,536
425,378153,20
426,15756,480
427,1193090,666
428,794598,1000
429,1127090,705
430,763303,1041
431,1265284,628
432,1059464,750
433,1020023,779
434,791432,1004
435,1203937,660
436,1228127,647
437,768470,1034
438,785176,1012
439,889429,1220
440,712946,1522
441,629410,1724
442,711077,1526
443,585909,1852
444,775074,1400
445,583389,1860
446,554189,1958
447,673977,1610
448,605526,1792
449,645510,1681
450,686774,1580
451,667345,1626
452,591015,1836
453,671890,1615
454,633822,1712
455,545552,1989
456,773968,1402
457,809175,1341
458,581513,1866
459,770123,1409
460,638296,1700
461,602835,1800
462,661245,1641
463,871237,2100
464,901724,2029
465,717208,2551
466,798254,2292
467,817515,2238
468,698320,2620
469,669937,2731
470,666277,2746
471,759169,2410
472,911154,2008
473,899507,2034
474,783218,2336
475,781879,2340
476,724593,2525
477,788896,3080
478,615139,3950
479,801915,3030
480,834410,2912
481,668998,3632
482,701444,3464
483,749014,3244
484,840180,2892
485,353036,7024
486,430956,5754
487,609568,4068
488,606438,4089
